Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 30.44      0.76     0.76 342064000     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
 28.63      1.47     0.71 342085562     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
 22.58      2.02     0.56     4000     0.00     0.00  fill_bins_random(std::vector<unsigned long, std::allocator<unsigned long> >&, unsigned long)
  6.45      2.19     0.16     4000     0.00     0.00  average_of_bins(std::vector<unsigned long, std::allocator<unsigned long> >&)
  5.24      2.31     0.13     4000     0.00     0.00  max_of_bins(std::vector<unsigned long, std::allocator<unsigned long> >&)
  3.63      2.40     0.09       12     0.01     0.01  std::allocator<unsigned long>::allocator()
  1.61      2.44     0.04                             _init
  1.41      2.48     0.04       12     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      2.48     0.00       96     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.48     0.00       90     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      2.48     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >::base() const
  0.00      2.48     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<HashMap<int>::Entry*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >::base() const
  0.00      2.48     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.48     0.00       58     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      2.48     0.00       55     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.48     0.00       50     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::size() const
  0.00      2.48     0.00       50     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.48     0.00       49     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      2.48     0.00       46     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      2.48     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      2.48     0.00       45     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::operator[](unsigned long)
  0.00      2.48     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      2.48     0.00       36     0.00     0.00  bool __gnu_cxx::operator!=<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >(__gnu_cxx::__normal_iterator<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > > const&, __gnu_cxx::__normal_iterator<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > > const&)
  0.00      2.48     0.00       36     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      2.48     0.00       36     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.48     0.00       33     0.00     0.00  __gnu_cxx::__normal_iterator<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >::operator++()
